MSZoning,LotFrontage,LotArea,Neighborhood,BldgType,HouseStyle,OverallQual,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,ExterQual,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice,AgeSold,LayoutType,TotalBaths,Total_sqft
RL,65.0,8450,CollgCr,1Fam,2Story,7,2003,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,TA,No,706,150,856,Ex,Y,856,854,1710,1,3,Gd,8,0,Attchd,2003.0,RFn,2,548,0,61,208500,5,Typical Layout,2.5,4276
RL,80.0,9600,Veenker,1Fam,1Story,6,1976,MetalSd,MetalSd,None,TA,CBlock,Gd,TA,Gd,978,284,1262,Ex,Y,1262,0,1262,0,3,TA,6,1,Attchd,1976.0,RFn,2,460,298,0,181500,31,Typical Layout,2.0,3786
RL,68.0,11250,CollgCr,1Fam,2Story,7,2002,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,TA,Mn,486,434,920,Ex,Y,920,866,1786,1,3,Gd,6,1,Attchd,2001.0,RFn,2,608,0,42,223500,7,Typical Layout,2.5,4492
RL,60.0,9550,Crawfor,1Fam,2Story,7,1970,Wd Sdng,Wd Shng,None,TA,BrkTil,TA,Gd,No,216,540,756,Gd,Y,961,756,1717,1,3,Gd,7,1,Detchd,1998.0,Unf,3,642,0,35,140000,91,Typical Layout,1.0,4190
RL,84.0,14260,NoRidge,1Fam,2Story,8,2000,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,TA,Av,655,490,1145,Ex,Y,1145,1053,2198,1,4,Gd,9,1,Attchd,2000.0,RFn,3,836,192,84,250000,8,Many Rooms,2.5,5541
RL,85.0,14115,Mitchel,1Fam,1.5Fin,5,1995,VinylSd,VinylSd,None,TA,Wood,Gd,TA,No,732,64,796,Ex,Y,796,566,1362,1,1,TA,5,0,Attchd,1993.0,Unf,2,480,40,30,143000,16,Few Rooms,1.5,3520
RL,75.0,10084,Somerst,1Fam,1Story,8,2005,VinylSd,VinylSd,Stone,Gd,PConc,Ex,TA,Av,1369,317,1686,Ex,Y,1694,0,1694,1,3,Gd,7,1,Attchd,2004.0,RFn,2,636,255,57,307000,3,Typical Layout,2.0,5074
RL,51.0,10382,NWAmes,1Fam,2Story,7,1973,HdBoard,HdBoard,Stone,TA,CBlock,Gd,TA,Mn,859,216,1107,Ex,Y,1107,983,2090,1,3,TA,7,2,Attchd,1973.0,RFn,2,484,235,204,200000,36,Typical Layout,2.5,5287
RM,51.0,6120,OldTown,1Fam,1.5Fin,7,1950,BrkFace,Wd Shng,None,TA,BrkTil,TA,TA,No,0,952,952,Gd,Y,1022,752,1774,0,2,TA,8,2,Detchd,1931.0,Unf,2,468,90,0,129900,77,Typical Layout,2.0,4500
RL,50.0,7420,BrkSide,2fmCon,1.5Unf,5,1950,MetalSd,MetalSd,None,TA,BrkTil,TA,TA,No,851,140,991,Ex,Y,1077,0,1077,1,2,TA,5,2,Attchd,1939.0,RFn,1,205,0,4,118000,69,Few Rooms,1.0,3145
RL,70.0,11200,Sawyer,1Fam,1Story,5,1965,HdBoard,HdBoard,None,TA,CBlock,TA,TA,No,906,134,1040,Ex,Y,1040,0,1040,1,3,TA,5,0,Detchd,1965.0,Unf,1,384,0,0,129500,43,Few Rooms,1.0,3120
RL,85.0,11924,NridgHt,1Fam,2Story,9,2006,WdShing,Wd Shng,Stone,Ex,PConc,Ex,TA,No,998,177,1175,Ex,Y,1182,1142,2324,1,4,Ex,11,2,BuiltIn,2005.0,Fin,3,736,147,21,345000,1,Many Rooms,3.0,5823
